WELL_TYPE,WELL_DEPTH,DISTRICT,THANA,UNION,MOUZA,GEOCODE,SAMPLE_ID,Ca,Mg,Na,K,P,Cl,HCO3,SO4,NH4-N,NO2-N,NO3-N,Pb,Ni,Zn,As,Cd,Cr,Cu,Fe,Mn,Ca_num,Mg_num,Na_num,K_num,Cl_num,HCO3_num,SO4_num,NO3-N_num,Fe_num,Mn_num,As_num,Pb_num,Ni_num,Zn_num,Cd_num,Cr_num,Cu_num,TDS_calc,Ca_meq,Mg_meq,Na_meq,K_meq,Cl_meq,HCO3_meq,SO4_meq,NO3_meq,Cat_sum,An_sum,CBE_pct,pct_Ca,pct_Mg,pct_Na_K,pct_HCO3,pct_Cl,pct_SO4_NO3,Facies,Gibbs_Cation,Gibbs_Anion,Gibbs_Mechanism,Ratio_Na_Cl,Ratio_Ca_Mg,Ratio_CaMg_HCO3SO4,CAI_1,CAI_2,Ion_Exchange_Process
HTW,37,Rajshahi,Rajpara,Sapura,Sapura,58185,S98_01818,148,36.2,40.7,1.7,< 0.2,78,396,14.9,< 0.02,< 0.004,< 0.2,0.26,4.5,20,1.7,< 0.02,< 0.5,1,0.014,2.54,148.0,36.2,40.7,1.7,78.0,396.0,14.9,0.1,0.014,2.54,1.7,0.26,4.5,20.0,0.01,0.25,1.0,517.6,7.385598083736713,2.9788109442501547,1.7703349282296654,0.04348048493529081,2.200095901616224,6.490100957126001,0.3102227774307724,0.00713928749910759,12.178224441151823,9.007558923672104,14.966005565525474,60.645935041070565,24.460141612962563,14.893923345966883,72.05171803061808,24.424995942400262,3.523286026981673,Ca-HCO3,0.19716641868265225,0.253169857642863,Rock-Water Interaction Dominance,0.804662618083671,2.479377920237856,1.5241052385960254,0.17557438662901026,0.0567436778135608,Reverse Ion Exchange (Ca matrix -> Na solution)
HTW,18,Rajshahi,Charghat,Charghat,Charghat,58125,S98_01819,138,30.5,26.8,2,< 0.2,2.9,399,1.8,< 0.02,< 0.004,< 0.2,0.2,3.5,13,< 0.5,0.02,< 0.5,< 1,0.03,1.28,138.0,30.5,26.8,2.0,2.9,399.0,1.8,0.1,0.03,1.28,0.25,0.2,3.5,13.0,0.02,0.25,0.5,401.6000000000001,6.886571186186935,2.5097716519234727,1.165724227925185,0.05115351168857742,0.08179843736778268,6.539268388619379,0.037476577139287946,0.00713928749910759,10.61322057772417,6.665682690625558,22.84599795363999,64.88672439957567,23.647597197698605,11.465678402725722,98.1035055541428,1.2271576845807837,0.6693367612764125,Ca-HCO3,0.1501678792272419,0.012354268506508694,Rock-Water Interaction Dominance,14.251179673321237,2.7439034865618597,1.4287223979387627,-13.876540173285079,-0.17240268184914256,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,27,Natore,Natore Sadar,Natore,Natore,56963,S98_01820,177,42.6,38.5,3.4,< 0.2,120,392,11.9,< 0.02,< 0.004,< 0.2,0.21,5.5,,5.5,0.03,< 0.5,1,0.032,0.766,177.0,42.6,38.5,3.4,120.0,392.0,11.9,0.1,0.032,0.766,5.5,0.21,5.5,,0.03,0.25,1.0,589.5,8.83277608663107,3.505451553178359,1.674641148325359,0.08696096987058162,3.3847629255634217,6.424544381801495,0.2477618155319592,0.00713928749910759,14.099829758005368,10.064208410395985,16.70093930279689,62.644558396998676,24.86165871036912,12.493782892632211,63.8355657973573,33.631685548831406,2.5327486538112884,Ca-HCO3,0.16627706545281906,0.345056263353286,Rock-Water Interaction Dominance,0.49475877192982465,2.5197256195489213,1.8491698784357835,0.47954933419666096,0.2430083172403001,Reverse Ion Exchange (Ca matrix -> Na solution)
TARA,18,Natore,Singra,Singra,Singra,56991,S98_01821,159,40.8,55,1,< 0.2,126,361,31,< 0.02,< 0.004,< 0.2,0.16,4.7,19,< 0.5,0.03,< 0.5,1,0.037,0.846,159.0,40.8,55.0,1.0,126.0,361.0,31.0,0.1,0.037,0.846,0.25,0.16,4.7,19.0,0.03,0.25,1.0,593.4,7.934527671041469,3.357333881917301,2.3923444976076556,0.02557675584428871,3.5540010718415926,5.916480923036581,0.6454299396210702,0.00713928749910759,13.709782806410715,10.123051221998352,15.049538716784285,57.87493341857518,24.4886000699253,17.636466511499517,58.44562862805145,35.10800245797839,6.446368913970156,Ca-HCO3,0.23356031708895997,0.3752714036902945,Rock-Water Interaction Dominance,0.6731411862990812,2.3633418510375352,1.720819101219158,0.31966220477276364,0.17294430586171397,Reverse Ion Exchange (Ca matrix -> Na solution)
HTW,27,Natore,Lalpur,Lalpur,Lalpur,56944,S98_01822,109,30.2,22.9,1.3,< 0.2,22.2,410,2.4,< 0.02,< 0.004,< 0.2,0.72,3.9,30,0.9,0.11,< 0.5,< 1,0.036,0.492,109.0,30.2,22.9,1.3,22.2,410.0,2.4,0.1,0.036,0.492,0.9,0.72,3.9,30.0,0.11,0.25,0.5,393.1,5.439393183292579,2.485085373379963,0.9960852544584602,0.03324978259757533,0.626181141229233,6.719548970761768,0.04996876951905059,0.00713928749910759,8.953813593728578,7.40283816900916,9.482230515249531,60.74945749487609,27.75449083640254,11.496051668721375,90.76990226386582,8.458663109111903,0.7714346270222717,Ca-HCO3,0.1591247926938817,0.0852442346346307,Rock-Water Interaction Dominance,1.5907302038880988,2.188815419204075,1.1706119786819278,-0.6438295076012447,-0.05949155965458062,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,15,Sirajganj,Raiganj,Roygong,Roygong,58861,S98_01823,22.6,10.7,10.3,1,< 0.2,4,143,1,0.15,0.014,< 0.2,0.39,1,,12.3,0.06,< 0.5,< 1,3.99,0.648,22.6,10.7,10.3,1.0,4.0,143.0,1.0,0.1,3.99,0.648,12.3,0.39,1.0,,0.06,0.25,0.5,121.19999999999999,1.127800788462498,0.8804772680518412,0.44802087864288825,0.02557675584428871,0.11282543085211405,2.3436475678510558,0.020820320632937747,0.00713928749910759,2.481875691001516,2.484432606835215,0.051485241760215426,45.441469633291526,35.476283975227645,19.08224639148084,94.3333122179757,4.541295688267282,1.125392093757036,Mixed-Cation-HCO3,0.2957400405171125,0.045929847758016173,Rock-Water Interaction Dominance,3.9709210526315797,1.280897110447711,0.8493572978070641,-3.197614233868472,-0.15212139990490298,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Sirajganj,Sirajganj Sadar,Sirjgong,Sirjgong,58878,S98_01824,21.6,11.5,4.6,3.1,< 0.2,3.1,135,0.2,< 0.02,< 0.004,< 0.2,0.88,1,8,15.4,0.06,< 0.5,< 1,0.397,0.626,21.6,11.5,4.6,3.1,3.1,135.0,0.2,0.1,0.397,0.626,15.4,0.88,1.0,8.0,0.06,0.25,0.5,111.7,1.0778980987075204,0.9463073441678668,0.20008699434536756,0.079287943117295,0.0874397089103884,2.2125344172020456,0.00416406412658755,0.00713928749910759,2.3035803803380497,2.311277477738129,0.1667894794767987,46.79229376616497,41.07984910120638,12.127857132628659,95.72777126558098,3.783176609152051,0.48905212526696995,Mixed-Cation-HCO3,0.20583547305336203,0.038017692424299,Rock-Water Interaction Dominance,2.2882852292020375,1.1390570995254905,0.9131622816207866,-2.1950579541496054,-0.08630810720219473,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Pabna,Chatmohar,Chatmohur,Chatmohur,57622,S98_01825,108,38,40.8,1.6,< 0.2,7.5,626,4.7,< 0.02,< 0.004,< 0.2,0.17,3.1,,3.5,0.03,< 0.5,< 1,0.044,0.602,108.0,38.0,40.8,1.6,7.5,626.0,4.7,0.1,0.044,0.602,3.5,0.17,3.1,,0.03,0.25,0.5,513.7,5.389490493537601,3.126928615511212,1.7746846454980427,0.04092280935086194,0.21154768284771386,10.25960403828504,0.09785550697480741,0.00713928749910759,10.332026563897719,10.57614651560667,1.1675814562117537,52.162956223608816,30.26442679151988,17.5726169848713,97.00701501388502,2.000234041156143,0.9927509449588244,Ca-HCO3,0.2519892814580665,0.02020290494127507,Rock-Water Interaction Dominance,8.389052631578949,1.7235732427030446,0.8222498067053906,-7.582497479567763,-0.1547633244550967,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,30,Pabna,Pabna Sadar,Pabna,Pabna,57655,S98_01826,114,25.6,38.1,2.8,< 0.2,5,399,0.6,< 0.02,< 0.004,< 0.2,0.17,8.9,6,1.9,0.02,< 0.5,< 1,0.151,0.493,114.0,25.6,38.1,2.8,5.0,399.0,0.6,0.1,0.151,0.493,1.9,0.17,8.9,6.0,0.02,0.25,0.5,385.70000000000005,5.688906632067468,2.1065624357128168,1.6572422792518489,0.0716149163640084,0.14103178856514256,6.539268388619379,0.012492192379762648,0.00713928749910759,9.524326263396143,6.699931657063392,17.408467124841863,59.73027881175233,22.117705520113798,18.152015668133874,97.60201630900765,2.1049735397891713,0.2930101512031661,Ca-HCO3,0.23306986253238587,0.021111594512895345,Rock-Water Interaction Dominance,11.75084210526316,2.700563978367183,1.189828134194653,-11.258634831233797,-0.2420871546883775,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Pabna,Sujanagar,Sujanager,Sujanager,57683,S98_01827,91.5,35,39.8,1.2,0.3,7.9,475,< 0.2,< 0.02,< 0.004,< 0.2,0.19,3,23,1.1,0.07,< 0.5,< 1,0.061,1.5,91.5,35.0,39.8,1.2,7.9,475.0,0.1,0.1,0.061,1.5,1.1,0.19,3.0,23.0,0.07,0.25,0.5,413.1,4.5660961125804675,2.8800658300761164,1.731187472814267,0.030692107013146452,0.22283022593292526,7.784843319784975,0.002082032063293775,0.00713928749910759,9.208041522483997,8.016894865280301,6.915245608975512,49.58813555989157,31.27772418318959,19.134140256918847,97.10546852123134,2.779507897726862,0.11502358104179718,Mixed-Cation-HCO3,0.2784270460996342,0.027827086688877775,Rock-Water Interaction Dominance,7.769087275149901,1.5854138002324036,0.9562390296818752,-6.906824904255861,-0.1974642789238348,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,20,Pabna,Bera,Nagierbari,Nagierbari,57616,S98_01828,127,32.5,17,2.3,< 0.2,56.9,409,0.7,< 0.02,0.094,0.7,0.71,3.5,15,28.7,0.09,< 0.5,< 1,3.75,2.21,127.0,32.5,17.0,2.3,56.9,409.0,0.7,0.7,3.75,2.21,28.7,0.71,3.5,15.0,0.09,0.25,0.5,441.6,6.337641598882179,2.6743468422135366,0.7394519356241844,0.05882653844186403,1.6049417538713224,6.703159826930642,0.014574224443056422,0.04997501249375313,9.810266915161764,8.372650817738773,7.906410393210653,64.60213217121907,27.260693978472027,8.137173850308898,80.06018610890767,19.168860481688807,0.7709534094035294,Ca-HCO3,0.11186763107006567,0.19317791655075078,Rock-Water Interaction Dominance,0.46073443714734996,2.369790447089713,1.341522062674224,0.5026121838125902,0.11919296060051095,Reverse Ion Exchange (Ca matrix -> Na solution)
HTW,36,Bogra,Sherpur,Sherpur,,51088,S98_01834,41,22.6,29.8,2.3,1.4,45.9,242,0.5,0.62,< 0.004,< 0.2,0.47,2.2,16,27.8,< 0.02,< 0.5,< 1,19.6,2.27,41.0,22.6,29.8,2.3,45.9,242.0,0.5,0.1,19.6,2.27,27.8,0.47,2.2,16.0,0.01,0.25,0.5,263.20000000000005,2.046010279954089,1.859699650277721,1.2962157459765116,0.05882653844186403,1.2946718190280087,3.9661728071325557,0.010410160316468874,0.00713928749910759,5.260752214650186,5.27839407397614,0.1673936279354376,38.8919720312305,35.350451311864,25.757576656905506,75.13976318454172,24.527759786088698,0.3324770293695921,Mixed-Cation-HCO3,0.3984185068508041,0.24609580989904234,Rock-Water Interaction Dominance,1.0011925237931432,1.1001831826169055,0.9821774026098896,-0.04662993702581002,-0.015154285747552189,Direct Ion Exchange (Na matrix -> Ca solution)
