target,feature_set,model,transformation,fold_idx,r2,rmse,mae
Ni_num,M1_Core,SVR_RBF,LOG1P,15,-0.023549,0.620444,0.506414
Ni_num,M1_Core,SVR_RBF,LOG1P,16,-0.087114,2.480229,1.198144
Ni_num,M1_Core,SVR_RBF,LOG1P,17,0.776363,0.579668,0.518479
Ni_num,M1_Core,SVR_RBF,LOG1P,18,0.808513,0.596396,0.548842
Ni_num,M1_Core,SVR_RBF,LOG1P,19,-0.130999,1.122656,0.889052
Ni_num,M1_Core,SVR_RBF,LOG1P,20,0.110872,2.709992,1.759091
Ni_num,M1_Core,SVR_RBF,LOG1P,21,-0.100155,0.720988,0.635244
Ni_num,M1_Core,SVR_RBF,LOG1P,22,0.537878,1.490424,0.942551
Ni_num,M1_Core,SVR_RBF,LOG1P,23,0.608876,0.824328,0.542215
Ni_num,M1_Core,SVR_RBF,LOG1P,24,0.106313,2.416082,1.519206
Ni_num,M1_Core,SVR_RBF,LOG1P,25,-0.294362,2.430088,1.261597
Ni_num,M1_Core,SVR_RBF,RAW,1,0.293664,0.824998,0.714286
Ni_num,M1_Core,SVR_RBF,RAW,2,0.374254,1.00367,0.767949
Ni_num,M1_Core,SVR_RBF,RAW,3,-0.260732,2.539263,1.530253
Ni_num,M1_Core,SVR_RBF,RAW,4,0.007154,2.723337,1.818717
Ni_num,M1_Core,SVR_RBF,RAW,5,0.855796,0.47695,0.401373
Ni_num,M1_Core,SVR_RBF,RAW,6,0.729803,0.598199,0.559916
Ni_num,M1_Core,SVR_RBF,RAW,7,0.294233,1.949247,1.42047
Ni_num,M1_Core,SVR_RBF,RAW,8,-0.06871,2.408823,1.342361
Ni_num,M1_Core,SVR_RBF,RAW,9,-6.465574,0.632541,0.49102
Ni_num,M1_Core,SVR_RBF,RAW,10,-0.623437,2.635772,1.728378
Ni_num,M1_Core,SVR_RBF,RAW,11,0.461512,0.65609,0.512562
Ni_num,M1_Core,SVR_RBF,RAW,12,0.486366,1.679624,0.968435
Ni_num,M1_Core,SVR_RBF,RAW,13,0.208002,2.315962,1.54081
Ni_num,M1_Core,SVR_RBF,RAW,14,-0.222083,2.38448,1.498776
Ni_num,M1_Core,SVR_RBF,RAW,15,-0.192812,0.669783,0.556898
Ni_num,M1_Core,SVR_RBF,RAW,16,-0.038025,2.423584,1.175435
Ni_num,M1_Core,SVR_RBF,RAW,17,0.673595,0.700303,0.609387
Ni_num,M1_Core,SVR_RBF,RAW,18,0.725231,0.714412,0.613955
Ni_num,M1_Core,SVR_RBF,RAW,19,0.100079,1.001424,0.756906
Ni_num,M1_Core,SVR_RBF,RAW,20,0.084599,2.74974,1.740928
Ni_num,M1_Core,SVR_RBF,RAW,21,-0.395674,0.812069,0.709419
Ni_num,M1_Core,SVR_RBF,RAW,22,0.431316,1.653358,0.980432
Ni_num,M1_Core,SVR_RBF,RAW,23,0.580089,0.854126,0.579281
Ni_num,M1_Core,SVR_RBF,RAW,24,0.122657,2.393888,1.538391
Ni_num,M1_Core,SVR_RBF,RAW,25,-0.248317,2.386473,1.266315
Ni_num,M2_Core_Salinity,Ridge,LOG1P,1,-5.483223,2.499438,1.468923
Ni_num,M2_Core_Salinity,Ridge,LOG1P,2,0.053281,1.234532,1.069128
Ni_num,M2_Core_Salinity,Ridge,LOG1P,3,-0.643807,2.89949,2.077008
Ni_num,M2_Core_Salinity,Ridge,LOG1P,4,-8.7e-05,2.733249,1.891275
Ni_num,M2_Core_Salinity,Ridge,LOG1P,5,0.842269,0.498819,0.413527
Ni_num,M2_Core_Salinity,Ridge,LOG1P,6,-0.411391,1.367191,0.924276
Ni_num,M2_Core_Salinity,Ridge,LOG1P,7,0.179258,2.102033,1.562063
Ni_num,M2_Core_Salinity,Ridge,LOG1P,8,0.165921,2.128033,1.224163
Ni_num,M2_Core_Salinity,Ridge,LOG1P,9,-5.46937,0.588827,0.501
Ni_num,M2_Core_Salinity,Ridge,LOG1P,10,-0.626991,2.638656,1.574215
Ni_num,M2_Core_Salinity,Ridge,LOG1P,11,0.028148,0.881405,0.695122
Ni_num,M2_Core_Salinity,Ridge,LOG1P,12,0.382211,1.842066,1.181526
Ni_num,M2_Core_Salinity,Ridge,LOG1P,13,0.274258,2.216975,1.404446
Ni_num,M2_Core_Salinity,Ridge,LOG1P,14,-0.855628,2.938249,2.14231
Ni_num,M2_Core_Salinity,Ridge,LOG1P,15,-0.547505,0.762894,0.642045
Ni_num,M2_Core_Salinity,Ridge,LOG1P,16,-0.139837,2.53966,1.344286
Ni_num,M2_Core_Salinity,Ridge,LOG1P,17,0.512852,0.855535,0.748321
Ni_num,M2_Core_Salinity,Ridge,LOG1P,18,0.81183,0.591207,0.507962
Ni_num,M2_Core_Salinity,Ridge,LOG1P,19,-0.365474,1.233552,0.927437
Ni_num,M2_Core_Salinity,Ridge,LOG1P,20,0.042274,2.81259,2.012089
Ni_num,M2_Core_Salinity,Ridge,LOG1P,21,0.130709,0.64089,0.516053
Ni_num,M2_Core_Salinity,Ridge,LOG1P,22,0.262817,1.882432,1.325234
Ni_num,M2_Core_Salinity,Ridge,LOG1P,23,0.697468,0.724985,0.492691
Ni_num,M2_Core_Salinity,Ridge,LOG1P,24,0.107474,2.414512,1.855303
Ni_num,M2_Core_Salinity,Ridge,LOG1P,25,-0.459427,2.580389,1.518863
Ni_num,M2_Core_Salinity,Ridge,RAW,1,-2.933468,1.94686,1.40203
Ni_num,M2_Core_Salinity,Ridge,RAW,2,-0.211645,1.396624,1.225677
Ni_num,M2_Core_Salinity,Ridge,RAW,3,-1.027224,3.219936,2.462341
Ni_num,M2_Core_Salinity,Ridge,RAW,4,0.02933,2.692751,1.850536
Ni_num,M2_Core_Salinity,Ridge,RAW,5,0.689498,0.699869,0.577091
Ni_num,M2_Core_Salinity,Ridge,RAW,6,-0.597135,1.454375,0.978176
Ni_num,M2_Core_Salinity,Ridge,RAW,7,0.117655,2.179493,1.660296
