target,input_set_id,input_set_name,num_features,model,transformation,effective_N,mean_R2,median_R2,sd_R2,RMSE,MAE,spearman_rho,pos_fold_count,pos_fold_pct
Fe_num,E1,E1_Min2_FieldOnly,2,SVR_RBF,LOG1P,40,-1.1555,-0.2332,4.6618,2.7734,1.4465,0.137,5,20.0
Fe_num,E1,E1_Min2_FieldOnly,2,PLS,RAW,40,-9.1539,-0.2981,29.733,2.9526,1.9237,-0.0418,2,8.0
Fe_num,E1,E1_Min2_FieldOnly,2,PLS,LOG1P,40,-1.6402,-0.2394,5.9813,2.727,1.4791,0.1263,5,20.0
Fe_num,E1,E1_Min2_FieldOnly,2,Lasso,RAW,40,-8.8527,-0.2455,28.5616,2.9436,1.9201,-0.1022,2,8.0
Fe_num,E1,E1_Min2_FieldOnly,2,Lasso,LOG1P,40,-1.4116,-0.1803,4.9274,2.7376,1.4899,-0.1007,2,8.0
Fe_num,E1,E1_Min2_FieldOnly,2,Ridge,RAW,40,-9.0953,-0.3021,29.5626,2.9489,1.9206,-0.0428,2,8.0
Fe_num,E1,E1_Min2_FieldOnly,2,Ridge,LOG1P,40,-1.6185,-0.2326,5.891,2.7264,1.4784,0.1217,5,20.0
Fe_num,E1,E1_Min2_FieldOnly,2,ElasticNet,RAW,40,-8.9103,-0.2739,28.8492,2.9433,1.9186,-0.0719,2,8.0
Fe_num,E1,E1_Min2_FieldOnly,2,ElasticNet,LOG1P,40,-1.433,-0.1771,5.1525,2.7258,1.478,0.0727,3,12.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,SVR_RBF,RAW,40,-0.5607,-0.2095,1.55,2.7475,1.4221,0.1285,5,20.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,SVR_RBF,LOG1P,40,-0.5378,-0.2145,1.3894,2.7322,1.4281,0.1364,5,20.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,PLS,RAW,40,-11.468,-0.3316,33.8642,3.2424,2.0463,-0.1289,0,0.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,PLS,LOG1P,40,-1.8356,-0.2725,6.5597,2.7727,1.5072,0.0361,2,8.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,Lasso,RAW,40,-10.329,-0.3221,30.0773,3.1784,2.0188,-0.1795,1,4.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,Lasso,LOG1P,40,-1.4119,-0.1803,4.9273,2.7383,1.4904,-0.1049,2,8.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,Ridge,RAW,40,-11.3928,-0.3132,34.1483,3.2219,2.0373,-0.1051,1,4.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,Ridge,LOG1P,40,-1.7797,-0.2688,6.3702,2.7663,1.5026,0.045,2,8.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,ElasticNet,RAW,40,-10.5344,-0.3029,31.1662,3.1833,2.0179,-0.1475,1,4.0
Fe_num,E2,E2_Min3_Field_Plus_Depth,3,ElasticNet,LOG1P,40,-1.4463,-0.1771,5.1494,2.7363,1.4861,0.025,3,12.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,SVR_RBF,RAW,40,-0.7056,-0.2121,2.1762,2.7566,1.4317,0.1082,5,20.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,SVR_RBF,LOG1P,40,-0.8735,-0.1976,2.7404,2.7474,1.4444,0.1161,5,20.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,PLS,RAW,40,-12.1274,-0.3501,35.9045,3.298,2.0913,-0.1933,0,0.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,PLS,LOG1P,40,-2.1348,-0.2783,7.7602,2.7904,1.5229,-0.0222,2,8.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Lasso,RAW,40,-10.3546,-0.4498,30.0721,3.2207,2.0574,-0.2101,1,4.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Lasso,LOG1P,40,-1.5663,-0.1901,5.6676,2.7466,1.4982,-0.1319,2,8.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Ridge,RAW,40,-11.0721,-0.6665,32.0868,3.3573,2.1349,-0.1846,0,0.0
