target,feature_set,model,raw_r2,log1p_r2,delta_r2,raw_rmse,log1p_rmse,delta_rmse,raw_spearman_rho,log1p_spearman_rho,delta_spearman_rho
HEI,Set B (CORE),ExtraTrees,-1.6530669876548154,-0.46893043941646906,1.1841365482383464,15.938468708037089,15.440705265785938,-0.4977634422511503,0.3341463414634147,0.33020637898686683,-0.003939962476547876
HEI,Set B (CORE),GradientBoosting,-3.7572373641298276,-0.524232808158744,3.2330045559710836,19.056860733821445,16.058859129225937,-2.9980016045955082,0.08911819887429645,0.22757973733583495,0.1384615384615385
HEI,Set B (CORE),Lasso,-2.7379010938399144,-0.27149026538672144,2.466410828453193,17.57916266849051,15.303767441982506,-2.275395226508005,0.3538461538461539,0.36116322701688564,0.007317073170731714
HEI,Set B (CORE),RandomForest,-4.010784422231602,-0.8877350983643534,3.1230493238672485,19.34797888933396,16.22704644166623,-3.1209324476677303,0.003564727954971858,0.2913696060037524,0.2878048780487805
HEI,Set B (CORE),Ridge,-2.6796228786649845,-0.5970314968903432,2.082591381774641,17.48565073473892,15.568332537976046,-1.9173181967628725,0.3587242026266417,0.39437148217636026,0.03564727954971858
HEI,Set B (CORE),SVR_RBF,-0.26234630323040425,-0.6375155658121467,-0.3751692625817425,15.698639043297026,15.983201707473176,0.28456266417614984,0.21913696060037527,0.1375234521575985,-0.08161350844277676
HEI,Set C (pH SENSITIVITY),ElasticNet,-2.7191925942763158,-0.37057462408080477,2.348617970195511,17.822384969478595,15.394781221478475,-2.42760374800012,0.25121951219512195,0.4365853658536586,0.18536585365853664
HEI,Set C (pH SENSITIVITY),ExtraTrees,-1.7291008944167257,-0.426423188547769,1.3026777058689567,16.501901341426432,15.590758592200244,-0.9111427492261885,0.2058161350844278,0.2988742964352721,0.09305816135084427
HEI,Set C (pH SENSITIVITY),GradientBoosting,-2.4157669573185365,-0.5250473183618292,1.8907196389567074,17.857893213676412,16.057319295767957,-1.800573917908455,0.039212007504690435,0.1632270168855535,0.12401500938086306
HEI,Set C (pH SENSITIVITY),Lasso,-2.9291177366096637,-0.2660062428073916,2.663111493802272,18.116457836105855,15.301499487471625,-2.81495834863423,0.2427767354596623,0.38348968105065667,0.14071294559099437
HEI,Set C (pH SENSITIVITY),RandomForest,-3.478723584885494,-0.7544830909916422,2.7242404938938516,18.402819550624507,16.12219580021205,-2.280623750412456,-0.1204502814258912,0.251031894934334,0.3714821763602252
HEI,Set C (pH SENSITIVITY),Ridge,-2.8777364533696708,-0.6741264340432015,2.203610019326469,18.035220079159856,15.724471858595841,-2.3107482205640153,0.2461538461538462,0.40900562851782374,0.16285178236397754
HEI,Set C (pH SENSITIVITY),SVR_RBF,-0.2728759281842695,-0.6619029941773961,-0.3890270659931266,15.756317342861678,16.173474916967045,0.41715757410536725,0.09080675422138838,0.06979362101313322,-0.021013133208255166
HPI,Set A (FULL),ElasticNet,-4.238620447673895,-0.5069439335415755,3.73167651413232,82.10056519125811,64.4294599200999,-17.67110527115821,0.09549718574108819,0.326641651031895,0.23114446529080684
HPI,Set A (FULL),ExtraTrees,-1.3827165329930622,-0.32436550137539805,1.058351031617664,70.12165043570309,65.29076267111984,-4.830887764583252,0.09155722326454035,0.23170731707317077,0.14015009380863042
HPI,Set A (FULL),GradientBoosting,-0.7779977432698036,-0.10542932389952914,0.6725684193702746,60.77766625825223,58.29950585568644,-2.4781604025657913,0.3056285178236398,0.3362101313320826,0.030581613508442795
HPI,Set A (FULL),Lasso,-9.990971010315205,-0.24767930682435207,9.743291703490852,117.10642710811273,63.36247922969519,-53.743947878417536,-0.028517823639774863,0.34502814258911824,0.3735459662288931
HPI,Set A (FULL),RandomForest,-1.2949410210782681,-0.24026992999148086,1.0546710910867874,65.4965894318803,60.42002579932089,-5.076563632559406,0.2774859287054409,0.3296435272045029,0.052157598499061986
HPI,Set A (FULL),Ridge,-5.013197544242793,-4.310716832572683,0.70248071167011,86.13320653428329,81.04402850064209,-5.089178033641204,0.06172607879924954,0.12757973733583491,0.06585365853658537
HPI,Set A (FULL),SVR_RBF,-0.2506859269903778,-0.47433977921646936,-0.22365385222609158,65.50028858332129,66.54881324211128,1.0485246587899866,-0.22514071294559101,0.3088180112570357,0.5339587242026267
HPI,Set B (CORE),ElasticNet,-1.7942837525238702,-0.1961795559039369,1.5981041966199332,71.70502230504287,63.1673659457117,-8.537656359331173,0.23771106941838657,0.301500938086304,0.06378986866791744
HPI,Set B (CORE),ExtraTrees,-1.151621436570876,-0.3178693893605943,0.8337520472102816,68.43013544316193,65.00657999679603,-3.4235554463658957,0.1887429643527205,0.22870544090056288,0.03996247654784238
HPI,Set B (CORE),GradientBoosting,-3.0102472435680254,-0.4435317318292254,2.5667155117388,80.10076960332268,67.32212320628601,-12.778646397036667,0.12382739212007506,0.1780487804878049,0.05422138836772984
HPI,Set B (CORE),Lasso,-1.9932066484270945,-0.1671168307060158,1.8260898177210787,72.88113083287116,63.31389799559381,-9.567232837277352,0.23996247654784245,0.25253283302063795,0.012570356472795502
HPI,Set B (CORE),RandomForest,-2.285371030579752,-0.38445354690643135,1.9009174836733207,75.98412202064874,65.79716533214865,-10.18695668850009,0.007129455909943716,0.20487804878048785,0.19774859287054414
HPI,Set B (CORE),Ridge,-1.8760888096267405,-0.32430522817663593,1.5517835814501046,72.19076586330196,64.08170055089907,-8.10906531240289,0.23658536585365858,0.34709193245778613,0.11050656660412755
HPI,Set B (CORE),SVR_RBF,-0.24629230858853973,-0.3033620124263836,-0.05706970383784388,65.4608257000381,65.7137189787267,0.2528932786886031,-0.2840525328330206,0.13602251407129456,0.4200750469043152
HPI,Set C (pH SENSITIVITY),ElasticNet,-1.9149782440093426,-0.20121819631312263,1.71376004769622,73.49416401083568,63.37516327400661,-10.119000736829065,0.1530956848030019,0.28630393996247655,0.13320825515947465
HPI,Set C (pH SENSITIVITY),ExtraTrees,-1.1331581510168354,-0.31892315768214896,0.8142349933346864,68.76060989077678,65.32110736217061,-3.4395025286061696,0.0703564727954972,0.14465290806754225,0.07429643527204505
HPI,Set C (pH SENSITIVITY),GradientBoosting,-2.341300838056377,-0.4268885636871766,1.9144122743692005,78.31804604207224,67.05233507020536,-11.26571097186688,0.0031894934333958733,0.09587242026266417,0.09268292682926829
HPI,Set C (pH SENSITIVITY),Lasso,-2.1348406186410585,-0.16797830695145055,1.9668623116896078,74.96605127680921,63.34523327247216,-11.620818004337053,0.15103189493433397,0.250844277673546,0.09981238273921203
