target,input_set_id,input_set_name,model,transformation,fold_idx,r2,rmse,mae
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,13,-0.039554,9.40455,4.579682
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,14,-0.012156,9.018582,4.93224
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,15,-4.913519,2.95834,2.816856
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,16,-0.268431,1.97122,1.706916
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,17,-49.697695,4.108619,3.795563
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,18,-0.074547,9.565374,4.931497
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,19,-0.124894,9.782325,5.454015
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,20,-0.229918,5.430428,3.886066
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,21,-2.32582,2.361316,2.150023
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,22,-0.164057,5.3066,4.010193
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,23,-0.004088,9.038744,4.768533
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,24,-0.430477,4.543661,3.552506
As_num,E1,E1_Min2_FieldOnly,Lasso,RAW,25,-0.054245,9.502946,4.940431
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,1,-13.930366,1.080016,1.056153
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,2,-0.234322,10.731428,5.605384
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,3,-0.093824,4.045655,2.067679
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,4,-0.08175,1.814686,1.297159
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,5,-0.158606,9.835389,4.376855
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,6,-0.091755,4.033165,2.072228
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,7,0.027514,1.684847,1.414544
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,8,-0.202618,5.160505,2.378449
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,9,-0.073651,1.318258,1.154945
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,10,-0.28261,13.602149,7.204426
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,11,0.001905,1.087235,0.964739
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,12,-0.373862,6.673839,4.108481
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,13,-0.110797,9.721465,4.072505
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,14,-0.101674,9.408948,3.834375
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,15,-0.258175,1.364569,1.232061
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,16,-0.089182,1.826635,1.352142
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,17,-5.54295,1.476007,1.38202
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,18,-0.12855,9.802786,4.397887
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,19,-0.237876,10.26183,5.010795
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,20,-0.096769,5.128065,2.4488
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,21,-0.115874,1.367768,1.227173
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,22,-0.074583,5.098578,2.425223
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,23,-0.086373,9.401813,3.908281
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,24,-0.316181,4.358361,2.538356
As_num,E1,E1_Min2_FieldOnly,Lasso,LOG1P,25,-0.107666,9.740737,4.006565
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,1,-169.862658,3.65358,3.49861
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,2,-0.168191,10.439997,6.155994
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,3,-0.08221,4.024119,2.803438
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,4,-1.406174,2.706459,2.210437
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,5,-0.098257,9.575811,4.993983
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,6,-0.256765,4.327235,3.247536
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,7,-2.56971,3.228013,2.706567
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,8,-0.389376,5.546745,4.202422
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,9,-4.082313,2.868135,2.565872
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,10,-0.221273,13.272924,7.581971
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,11,-3.973996,2.427114,1.973052
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,12,-0.265848,6.406119,4.373181
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,13,-0.037207,9.393928,4.594695
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,14,-0.006587,8.993736,4.959941
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,15,-5.025145,2.986131,2.828371
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,16,-0.312159,2.004911,1.667231
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,17,-50.480997,4.140237,3.813948
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,18,-0.067667,9.5347,4.889757
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,19,-0.123821,9.777656,5.443686
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,20,-0.240252,5.453194,3.886807
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,21,-2.218667,2.322966,2.071402
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,22,-0.170903,5.322181,4.034127
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,23,-5e-06,9.020347,4.735029
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,24,-0.465301,4.598634,3.614612
As_num,E1,E1_Min2_FieldOnly,Ridge,RAW,25,-0.052154,9.493517,5.040714
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,1,-19.066044,1.252062,1.19718
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,2,-0.243922,10.773082,5.64301
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,3,-0.124191,4.101429,2.080468
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,4,0.126832,1.630373,1.166296
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,5,-0.151013,9.803107,4.45583
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,6,-0.121909,4.088483,2.217874
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,7,0.051909,1.663581,1.388984
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,8,-0.210686,5.177784,2.3914
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,9,-0.248047,1.421295,1.222037
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,10,-0.277705,13.576114,7.173092
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,11,0.300475,0.910205,0.820688
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,12,-0.379614,6.687794,4.129739
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,13,-0.096121,9.657033,4.172763
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,14,-0.09366,9.374662,3.801682
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,15,-0.369155,1.42348,1.247759
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,16,0.070025,1.687864,1.205607
