config,model,mean_R2,median_R2,sd_R2,iqr_R2,mean_RMSE,mean_MAE,mean_Spearman,feature_count,target
M3_Core_IonRatios,ExtraTrees,-2.829279450830445,-0.21853678177067715,9.34759848771086,0.3686748321865647,2.766712371794691,1.5475173646211582,0.12000000000000002,8,Fe_num
M3_Core_IonRatios,GradientBoosting,-8.745053907513618,-0.5313693451924013,25.477343520582377,2.0525082841444613,3.2835263714950673,1.8543156175255089,-0.08746734812632156,8,Fe_num
M3_Core_IonRatios,HuberRegressor,-3.2306656575267865,-0.1596229220928318,14.730913740497197,0.22119636340056803,2.7492118747994887,1.3796688382144813,0.3194169076321021,8,Fe_num
M3_Core_IonRatios,Lasso,-1.5773863345588621,-0.17463796370189044,5.4955809811442276,0.21400486128631702,2.739206088973296,1.499976110424956,0.16095238095238099,8,Fe_num
M3_Core_IonRatios,RandomForest,-11.389044862027168,-0.33006858009351214,44.04439240191246,2.1083086696092765,3.088907956135817,1.7936362185848722,-0.11714285714285717,8,Fe_num
M3_Core_IonRatios,Ridge,-22.37556563237378,-0.17069961076854323,107.33804663885837,0.21502439041479926,2.83582938664727,1.5676929632930614,0.22992704824440896,8,Fe_num
M3_Core_IonRatios,SVR_RBF,-0.5980418025441426,-0.181614125181363,1.5596984478646336,0.262572996552503,2.732836328991682,1.4097489152653935,0.13335621356193197,8,Fe_num
M4_Core_IonExchange,ElasticNet,-1.7028479172490818,-0.12052678081012491,6.4996505608723725,0.2951744693838212,2.693024451010123,1.4648296403384524,0.3085714285714286,6,Fe_num
M4_Core_IonExchange,ExtraTrees,-2.6054688640690067,-0.2445993225404095,8.532128560980441,0.3985204878602697,2.7910619393002576,1.5736699234240696,-0.02666666666666667,6,Fe_num
M4_Core_IonExchange,GradientBoosting,-13.192911014127732,-0.4555452795505144,52.05155140922192,2.058964491194875,3.0941449279259166,1.7587206077734294,-0.1341969094447956,6,Fe_num
M4_Core_IonExchange,HuberRegressor,-0.7442828134847086,-0.20735791991874786,2.5150724961884734,0.20597111211912722,2.734387181177125,1.353603348431175,0.3146272174917965,6,Fe_num
M4_Core_IonExchange,Lasso,-1.548021607706251,-0.1511876178482332,5.5009341010596025,0.20591567295470936,2.735937634759288,1.4959665217164737,0.13809523809523813,6,Fe_num
M4_Core_IonExchange,RandomForest,-11.237520548632208,-0.34264967234852106,44.927754917149244,0.6901475264425481,3.0002109339641096,1.698387379474942,-0.18095238095238098,6,Fe_num
M4_Core_IonExchange,Ridge,-2.4662928729232805,-0.1347762459879256,9.163305380402212,0.23167285603750876,2.704288777584063,1.4629217296839616,0.25826538601041144,6,Fe_num
M4_Core_IonExchange,SVR_RBF,-0.7281004721488279,-0.17922803410732557,2.364549575664704,0.3592056770016897,2.7313234907335255,1.397672818967815,0.2227770620570477,6,Fe_num
M5_Core_DepthInteractions,ElasticNet,-1.8551392032995044,-0.16378893513921056,7.02984011710886,0.43546718472060264,2.7155805148269114,1.488712623758693,0.1942857142857143,7,Fe_num
M5_Core_DepthInteractions,ExtraTrees,-3.905072597814309,-0.20367341859711163,13.172374408627055,0.5483213574283117,2.8208451412044293,1.5598277440038972,-0.032934363628663185,7,Fe_num
M5_Core_DepthInteractions,GradientBoosting,-9.359012748987492,-0.38815291000445185,34.700502440379466,1.0480205754157887,3.0063780642651072,1.6910364615572462,-0.16001741757821009,7,Fe_num
M5_Core_DepthInteractions,HuberRegressor,-0.7422702387936506,-0.19308428168713987,2.470967587468502,0.2657475365223674,2.762860593925967,1.3541933570282025,0.2901455882311574,7,Fe_num
M5_Core_DepthInteractions,Lasso,-1.6144611752677827,-0.17593024079954755,5.754561433079317,0.20591567295470936,2.7404759197137007,1.4983911405022823,0.10380952380952384,7,Fe_num
M5_Core_DepthInteractions,RandomForest,-8.631679610547998,-0.409906773894545,28.014363508006134,2.3749332802458047,3.055141188098728,1.7349207614510604,-0.16380952380952382,7,Fe_num
M5_Core_DepthInteractions,Ridge,-2.757634013329058,-0.2277044420724239,10.643784790911312,0.3512303702083346,2.7630673420262593,1.508306309867198,0.17033614755077353,7,Fe_num
M5_Core_DepthInteractions,SVR_RBF,-0.5168882806086768,-0.1786289685307083,1.3447167705958467,0.30030306052236644,2.708626757870747,1.376959784437403,0.22087802020943545,7,Fe_num
M6_Core_AllHydrochemical,ElasticNet,-2.3670095020329525,-0.14302221133090653,9.06530902527837,0.39293060299475324,2.7306481201677517,1.4964754065643613,0.26055341124771086,10,Fe_num
M6_Core_AllHydrochemical,ExtraTrees,-8.524763060042291,-0.2675262108204002,36.711836372150245,1.2656952181628094,2.8586963058580097,1.6221490198980124,-0.08857142857142859,10,Fe_num
M6_Core_AllHydrochemical,GradientBoosting,-9.748349531754164,-0.5195047632283565,27.47763862627295,4.033551132945739,3.3563505028448115,1.9222844477952337,-0.15797405556416722,10,Fe_num
M6_Core_AllHydrochemical,HuberRegressor,-69.34725267740811,-0.20233924624470911,340.80909569237025,0.23414756686853377,3.0061201102581263,1.5536971017720942,0.16167104543252317,10,Fe_num
