target,fold,config,model,transform,feature_count,r2,rmse,mae,spearman_rho
HPI,6,M5_Core_DepthInteractions,Lasso,LOG1P,7,-0.07860403364275337,87.16810686110891,47.486233302223354,0.6190476190476191
HPI,6,M5_Core_DepthInteractions,ElasticNet,LOG1P,7,-0.09638137268720604,87.88351488122265,51.519479637107466,0.6190476190476191
HPI,6,M5_Core_DepthInteractions,SVR_RBF,LOG1P,7,-0.17703458828955276,91.05864982942796,51.91921259353032,-0.14285714285714288
HPI,6,M5_Core_DepthInteractions,HuberRegressor,LOG1P,7,-0.32219293726474985,96.51037662182594,63.71444023076924,0.5476190476190477
HPI,6,M5_Core_DepthInteractions,RandomForest,LOG1P,7,-0.4059476556518866,99.52018390549524,73.85630150186188,-0.11904761904761905
HPI,6,M5_Core_DepthInteractions,ExtraTrees,LOG1P,7,-0.19459725623885538,91.73548267633716,60.91426067360231,0.2142857142857143
HPI,6,M5_Core_DepthInteractions,GradientBoosting,LOG1P,7,-0.23121301221477686,93.13076970139467,64.40701924704683,-0.023809523809523815
HPI,6,M6_Core_AllHydrochemical,Ridge,LOG1P,10,-0.2935381122534251,95.45885228623835,66.74613107226192,0.4761904761904762
HPI,6,M6_Core_AllHydrochemical,Lasso,LOG1P,10,-0.06295835923671689,86.53358963659831,49.05582883191026,0.7142857142857144
HPI,6,M6_Core_AllHydrochemical,ElasticNet,LOG1P,10,-0.0862986195043749,87.4784758673903,51.63453322569228,0.7142857142857144
HPI,6,M6_Core_AllHydrochemical,SVR_RBF,LOG1P,10,-0.18123716598527784,91.221066496849,55.70678128869557,-0.023809523809523815
HPI,6,M6_Core_AllHydrochemical,HuberRegressor,LOG1P,10,-1.290295594970305,127.02007441203972,94.11295865543673,-0.023809523809523815
HPI,6,M6_Core_AllHydrochemical,RandomForest,LOG1P,10,-0.630812075759742,107.18365270349994,81.65870123351152,-0.28571428571428575
HPI,6,M6_Core_AllHydrochemical,ExtraTrees,LOG1P,10,-0.27908009290464797,94.92387610908581,64.60731777489801,0.09523809523809526
HPI,6,M6_Core_AllHydrochemical,GradientBoosting,LOG1P,10,-0.33948709702848245,97.13949943121389,67.7158333635341,-0.19278507708475195
HPI,6,M7_TargetSpecific_Selected,Ridge,LOG1P,9,-0.25922373748179006,94.18419819116538,60.930807280677584,0.5952380952380953
HPI,6,M7_TargetSpecific_Selected,Lasso,LOG1P,9,-0.06273771772793846,86.52460814992607,49.041612323751636,0.7142857142857144
HPI,6,M7_TargetSpecific_Selected,ElasticNet,LOG1P,9,-0.08649063390254152,87.48620688370305,51.685502532747456,0.7142857142857144
HPI,6,M7_TargetSpecific_Selected,SVR_RBF,LOG1P,9,-0.1442483227507616,89.78147502727653,54.06155170832279,-0.023809523809523815
HPI,6,M7_TargetSpecific_Selected,HuberRegressor,LOG1P,9,-12.204521986905744,304.99164050325766,187.57207515925242,0.5476190476190477
HPI,6,M7_TargetSpecific_Selected,RandomForest,LOG1P,9,-0.553563880762002,104.6143236852541,77.71404029222431,-0.261904761904762
HPI,6,M7_TargetSpecific_Selected,ExtraTrees,LOG1P,9,-0.19188241491008817,91.63118437178939,59.617631637365506,0.2142857142857143
HPI,6,M7_TargetSpecific_Selected,GradientBoosting,LOG1P,9,-0.3629142682437647,97.98528564459707,69.14324493342443,-0.27545404024004955
HPI,7,M1_Core,Ridge,LOG1P,5,-0.31122964588292557,38.74799550416407,33.12768384170864,0.2380952380952381
HPI,7,M1_Core,Lasso,LOG1P,5,-0.4996824524389627,41.4390237797457,34.06742259532568,0.2380952380952381
HPI,7,M1_Core,ElasticNet,LOG1P,5,-0.40726054988311633,40.141825378963,33.391051090488304,0.2380952380952381
HPI,7,M1_Core,SVR_RBF,LOG1P,5,-0.7880121860806393,45.247553060759465,37.476552196189104,0.2380952380952381
HPI,7,M1_Core,HuberRegressor,LOG1P,5,-0.4491737415789976,40.735222133534535,33.231439440412814,0.2380952380952381
HPI,7,M1_Core,RandomForest,LOG1P,5,-0.11296731041080066,35.69859017661667,30.262705415908577,0.523809523809524
HPI,7,M1_Core,ExtraTrees,LOG1P,5,-0.05049637417768493,34.6822400379214,30.505328158751333,0.2380952380952381
HPI,7,M1_Core,GradientBoosting,LOG1P,5,-0.30016963449836465,38.58423288686787,32.437670949737964,0.1077863635721933
HPI,7,M2_Core_Salinity,Ridge,LOG1P,6,-0.30573845446767867,38.66677560042095,33.16651149149102,0.2380952380952381
HPI,7,M2_Core_Salinity,Lasso,LOG1P,6,-0.4683111240700375,41.00330893300508,33.559532431173,0.2380952380952381
HPI,7,M2_Core_Salinity,ElasticNet,LOG1P,6,-0.38024666037865273,39.75467554173704,32.96035321528744,0.2380952380952381
HPI,7,M2_Core_Salinity,SVR_RBF,LOG1P,6,-0.6955845536487877,44.06254588650093,36.637400112483306,0.28571428571428575
HPI,7,M2_Core_Salinity,HuberRegressor,LOG1P,6,-0.3987872904641063,40.02079390410751,32.937732887103415,0.2380952380952381
HPI,7,M2_Core_Salinity,RandomForest,LOG1P,6,-0.11013207658258106,35.65309091028553,30.024661677789403,0.6190476190476191
HPI,7,M2_Core_Salinity,ExtraTrees,LOG1P,6,0.0843645401161478,32.37957636827731,27.513993493541157,0.6428571428571429
HPI,7,M2_Core_Salinity,GradientBoosting,LOG1P,6,-0.26973918950856235,38.130027876806814,31.27757101468095,0.1077863635721933
HPI,7,M3_Core_IonRatios,Ridge,LOG1P,8,-0.15231130147971683,36.324092376412025,31.503932922272853,0.30952380952380953
HPI,7,M3_Core_IonRatios,Lasso,LOG1P,8,-0.32977935261543734,39.02111307969717,32.14570847434308,0.3571428571428572
HPI,7,M3_Core_IonRatios,ElasticNet,LOG1P,8,-0.24721811105930924,37.790363134471,31.730594722192237,0.3571428571428572
